user,time,hashtag
0,2019-12-10 13:31:00,rt
211,2019-12-10 21:12:00,rt
46,2019-12-11 15:31:00,rt
269,2019-12-14 00:39:00,rt
174,2019-12-12 07:29:00,rt
22,2019-12-12 20:56:00,rt
98,2019-12-14 04:13:00,rt
278,2019-12-13 04:24:00,rt
133,2019-12-11 06:23:00,rt
115,2019-12-14 09:03:00,rt
104,2019-12-12 04:44:00,rt
201,2019-12-12 09:50:00,rt
43,2019-12-11 22:03:00,rt
49,2019-12-10 20:16:00,rt
144,2019-12-14 02:33:00,rt
298,2019-12-14 01:26:00,rt
238,2019-12-11 07:19:00,rt
38,2019-12-14 11:33:00,rt
103,2019-12-14 16:08:00,rt
56,2019-12-12 08:13:00,rt
84,2019-12-14 04:58:00,rt
165,2019-12-12 22:18:00,rt
14,2019-12-14 02:06:00,rt
21,2019-12-10 16:59:00,rt
209,2019-12-10 19:59:00,rt
92,2019-12-13 10:12:00,rt
294,2019-12-13 06:02:00,rt
147,2019-12-14 04:02:00,rt
38,2019-12-10 16:19:00,rt
49,2019-12-13 05:50:00,rt
228,2019-12-13 04:59:00,rt
53,2019-12-13 00:28:00,rt
94,2019-12-11 02:31:00,rt
3,2019-12-12 07:44:00,rt
36,2019-12-12 01:04:00,rt
9,2019-12-11 03:38:00,rt
90,2019-12-11 12:00:00,rt
73,2019-12-13 21:17:00,rt
142,2019-12-12 14:31:00,rt
219,2019-12-11 12:18:00,rt
29,2019-12-14 08:35:00,rt
270,2019-12-11 01:48:00,rt
117,2019-12-10 19:48:00,rt
246,2019-12-14 07:36:00,rt
62,2019-12-13 00:06:00,rt
141,2019-12-13 22:55:00,rt
166,2019-12-11 22:18:00,rt
95,2019-12-11 20:58:00,rt
47,2019-12-11 06:34:00,rt
218,2019-12-12 03:31:00,nyc
293,2019-12-14 06:07:00,nyc
28,2019-12-12 16:48:00,nyc
241,2019-12-13 13:23:00,nyc
206,2019-12-11 04:02:00,nyc
71,2019-12-12 02:43:00,nyc
292,2019-12-12 12:24:00,nyc
244,2019-12-13 09:40:00,nyc
22,2019-12-13 05:53:00,nyc
218,2019-12-14 06:26:00,nyc
19,2019-12-13 14:35:00,nyc
114,2019-12-10 21:23:00,nyc
57,2019-12-11 01:33:00,nyc
117,2019-12-14 13:35:00,nyc
248,2019-12-14 04:11:00,nyc
269,2019-12-11 03:38:00,nyc
8,2019-12-12 06:20:00,nyc
236,2019-12-13 06:27:00,nyc
85,2019-12-11 10:03:00,nyc
200,2019-12-14 00:26:00,nyc
139,2019-12-11 09:16:00,nyc
116,2019-12-14 14:13:00,nyc
289,2019-12-14 09:20:00,nyc
299,2019-12-11 21:28:00,#02
18,2019-12-10 16:59:00,#02
23,2019-12-13 16:41:00,#02
85,2019-12-13 00:41:00,#02
243,2019-12-14 07:27:00,#02
109,2019-12-13 10:15:00,#02
190,2019-12-13 06:57:00,#02
71,2019-12-11 01:21:00,#02
222,2019-12-13 17:00:00,#02
193,2019-12-13 15:01:00,#02
137,2019-12-14 06:19:00,#02
175,2019-12-13 10:18:00,#02
0,2019-12-12 07:32:00,#02
193,2019-12-10 18:48:00,#02
59,2019-12-11 04:49:00,#02
125,2019-12-12 17:31:00,#02
234,2019-12-10 16:40:00,#02
286,2019-12-11 22:13:00,#02
48,2019-12-10 16:58:00,#02
199,2019-12-12 11:13:00,#02
132,2019-12-14 02:01:00,#02
148,2019-12-11 09:58:00,#02
184,2019-12-12 21:54:00,#02
166,2019-12-11 18:53:00,#02
175,2019-12-11 11:19:00,#02
253,2019-12-13 23:47:00,#02
201,2019-12-13 10:56:00,#02
74,2019-12-13 09:10:00,#02
163,2019-12-13 20:27:00,#02
276,2019-12-11 22:38:00,#02
150,2019-12-14 00:00:00,#02
186,2019-12-13 08:38:00,#02
190,2019-12-11 09:37:00,#02
218,2019-12-11 08:12:00,#02
0,2019-12-12 02:35:00,#02
166,2019-12-12 15:32:00,#02
137,2019-12-10 23:01:00,#02
13,2019-12-12 22:54:00,#02
141,2019-12-12 06:00:00,#02
11,2019-12-12 16:02:00,#02
13,2019-12-12 20:10:00,#02
151,2019-12-11 04:49:00,#02
221,2019-12-10 23:09:00,#02
4,2019-12-13 12:42:00,#02
14,2019-12-10 18:37:00,#02
34,2019-12-11 06:09:00,#02
66,2019-12-11 07:48:00,#02
91,2019-12-12 15:49:00,#02
280,2019-12-13 02:58:00,#02
0,2019-12-10 21:57:00,#02
31,2019-12-11 04:10:00,#02
38,2019-12-10 14:26:00,#02
207,2019-12-12 21:32:00,#02
42,2019-12-11 23:49:00,#02
244,2019-12-11 11:52:00,#02
87,2019-12-14 04:23:00,#02
244,2019-12-10 18:49:00,#02
203,2019-12-11 01:36:00,#02
299,2019-12-12 20:50:00,#02
263,2019-12-11 21:04:00,#02
284,2019-12-12 17:10:00,#02
23,2019-12-13 22:55:00,#02
204,2019-12-11 19:30:00,#02
239,2019-12-12 21:40:00,#02
185,2019-12-13 09:16:00,#02
24,2019-12-14 12:01:00,#02
245,2019-12-11 13:38:00,#02
113,2019-12-12 11:38:00,#02
281,2019-12-14 16:04:00,#02
71,2019-12-11 21:01:00,#02
60,2019-12-12 01:46:00,#02
208,2019-12-10 17:13:00,#02
226,2019-12-12 01:50:00,#02
145,2019-12-13 04:17:00,#02
149,2019-12-13 17:06:00,#02
259,2019-12-10 21:02:00,#02
21,2019-12-12 21:31:00,#02
149,2019-12-11 07:29:00,#02
152,2019-12-13 09:08:00,#02
264,2019-12-12 15:37:00,#02
42,2019-12-11 02:14:00,#02
146,2019-12-11 11:06:00,#02
15,2019-12-11 11:48:00,#02
74,2019-12-13 23:47:00,#02
294,2019-12-13 05:29:00,#02
172,2019-12-11 04:44:00,#02
224,2019-12-11 22:07:00,#02
66,2019-12-12 02:03:00,#02
274,2019-12-13 20:40:00,#02
116,2019-12-11 15:51:00,#02
133,2019-12-10 15:34:00,#02
191,2019-12-12 23:49:00,#02
74,2019-12-11 02:18:00,#02
253,2019-12-12 15:02:00,#02
225,2019-12-14 10:56:00,#02
250,2019-12-12 22:18:00,#02
183,2019-12-10 18:38:00,#02
273,2019-12-13 19:37:00,#02
1,2019-12-12 22:22:00,#02
112,2019-12-13 00:30:00,#02
235,2019-12-14 03:28:00,#02
46,2019-12-12 05:20:00,#02
222,2019-12-11 08:31:00,#02
77,2019-12-11 23:38:00,#02
51,2019-12-13 20:51:00,#02
75,2019-12-12 06:34:00,#02
60,2019-12-14 11:25:00,#02
267,2019-12-12 01:44:00,#02
206,2019-12-12 18:20:00,#02
288,2019-12-11 20:31:00,#02
208,2019-12-11 11:59:00,#02
149,2019-12-12 11:38:00,#02
164,2019-12-10 18:34:00,#02
250,2019-12-10 15:40:00,#02
171,2019-12-12 20:12:00,#02
16,2019-12-12 06:53:00,#02
279,2019-12-10 16:04:00,#02
72,2019-12-14 16:03:00,#02
286,2019-12-13 20:58:00,#02
265,2019-12-14 06:58:00,#02
70,2019-12-13 15:45:00,#02
165,2019-12-13 05:21:00,#02
199,2019-12-13 22:59:00,#02
143,2019-12-11 22:05:00,#02
237,2019-12-13 00:30:00,#02
273,2019-12-13 07:17:00,#02
38,2019-12-13 10:06:00,#02
218,2019-12-13 01:27:00,#02
242,2019-12-14 03:28:00,#02
196,2019-12-12 05:50:00,#02
287,2019-12-10 13:20:00,#02
30,2019-12-13 16:58:00,#02
75,2019-12-12 15:10:00,#02
204,2019-12-13 22:09:00,#02
36,2019-12-14 11:45:00,#02
226,2019-12-12 10:05:00,#02
208,2019-12-11 19:04:00,#02
290,2019-12-11 16:20:00,#02
105,2019-12-10 16:31:00,#02
134,2019-12-13 14:39:00,#02
16,2019-12-11 04:12:00,#02
219,2019-12-12 14:44:00,#02
25,2019-12-11 18:44:00,#02
110,2019-12-12 15:22:00,#02
166,2019-12-12 08:55:00,#02
205,2019-12-11 10:42:00,#02
266,2019-12-14 09:50:00,#02
282,2019-12-13 19:26:00,#02
6,2019-12-11 23:50:00,#02
94,2019-12-12 12:27:00,#02
242,2019-12-10 21:34:00,#03
278,2019-12-14 04:23:00,#03
142,2019-12-14 04:48:00,#03
236,2019-12-13 06:51:00,#03
211,2019-12-12 11:04:00,#03
7,2019-12-13 06:02:00,#04
21,2019-12-13 21:43:00,#04
128,2019-12-11 09:00:00,#04
10,2019-12-11 12:10:00,#04
240,2019-12-14 09:11:00,#04
119,2019-12-11 12:11:00,#04
172,2019-12-13 18:44:00,#04
42,2019-12-10 20:54:00,#04
277,2019-12-13 12:11:00,#04
243,2019-12-10 22:29:00,#04
270,2019-12-13 07:00:00,#04
147,2019-12-12 21:54:00,#04
200,2019-12-12 19:34:00,#04
99,2019-12-11 23:17:00,#04
260,2019-12-13 14:51:00,#04
261,2019-12-12 04:21:00,#04
277,2019-12-10 13:26:00,#04
280,2019-12-12 10:13:00,#04
98,2019-12-12 01:03:00,#04
140,2019-12-12 09:39:00,#04
129,2019-12-11 01:26:00,#04
281,2019-12-13 14:30:00,#04
29,2019-12-10 22:40:00,#04
197,2019-12-12 18:49:00,#04
195,2019-12-10 21:51:00,#04
68,2019-12-14 09:42:00,#04
163,2019-12-14 16:03:00,#04
90,2019-12-12 09:21:00,#04
247,2019-12-13 08:02:00,#04
15,2019-12-13 04:21:00,#04
99,2019-12-14 07:40:00,#04
151,2019-12-11 02:15:00,#04
147,2019-12-11 05:09:00,#04
163,2019-12-10 19:17:00,#04
54,2019-12-12 19:34:00,#04
230,2019-12-14 06:03:00,#04
9,2019-12-10 16:52:00,#04
72,2019-12-10 21:08:00,#04
270,2019-12-14 03:39:00,#04
8,2019-12-13 05:25:00,#04
196,2019-12-14 13:55:00,#04
124,2019-12-10 16:45:00,#04
51,2019-12-14 06:03:00,#04
9,2019-12-13 01:01:00,#04
159,2019-12-13 03:47:00,#04
162,2019-12-11 10:44:00,#04
22,2019-12-12 06:25:00,#04
104,2019-12-14 11:34:00,#04
34,2019-12-13 15:00:00,#04
221,2019-12-14 12:12:00,#04
168,2019-12-14 01:12:00,#04
79,2019-12-13 05:47:00,#04
89,2019-12-13 02:52:00,#04
176,2019-12-12 08:19:00,#04
189,2019-12-14 02:44:00,#04
51,2019-12-13 01:44:00,#04
116,2019-12-14 07:02:00,#04
165,2019-12-11 08:59:00,#04
